pbs_code,prescribing_txt_id,pt_position,schedule_code
"10872F","7607","4","4535"
"10873G","33164","1","4535"
"10873G","29791","2","4535"
"10873G","28088","3","4535"
"10873G","7607","4","4535"
"10874H","8211","1","4535"
"10874H","25598","2","4535"
"10874H","25574","3","4535"
"10876K","14559","1","4535"
"10876K","14562","2","4535"
"10876K","33164","3","4535"
"10876K","29791","4","4535"
"10876K","28088","5","4535"
"10877L","14559","1","4535"
"10877L","14562","2","4535"
"10877L","33164","3","4535"
"10877L","29791","4","4535"
"10877L","28088","5","4535"
"10878M","8211","1","4535"
"10878M","25598","2","4535"
"10878M","25574","3","4535"
"10880P","7608","1","4535"
"10882R","7608","1","4535"
"10883T","7608","1","4535"
"10884W","7608","1","4535"
"10886Y","7608","1","4535"
"10887B","7608","1","4535"
"1088G","14417","1","4535"
"10890E","32678","1","4535"
"10890E","7608","2","4535"
"10891F","28584","1","4535"
"10892G","7606","1","4535"
"10892G","7607","2","4535"
"10893H","32678","1","4535"
"10893H","7608","2","4535"
"10894J","32663","1","4535"
"10894J","7606","2","4535"
"10894J","7607","3","4535"
"10894J","7608","4","4535"
"10895K","32663","1","4535"
"10895K","7606","2","4535"
"10895K","7607","3","4535"
"10895K","7608","4","4535"
"10896L","32663","1","4535"
"10896L","7606","2","4535"
"10896L","7607","3","4535"
"10897M","32678","1","4535"
"10897M","7606","2","4535"
"10898N","32663","1","4535"
"10898N","7606","2","4535"
"10898N","7607","3","4535"
"10898N","7608","4","4535"
"10899P","32663","1","4535"
"10899P","7606","2","4535"
"10899P","7607","3","4535"
"10899P","7608","4","4535"
"10900Q","32663","1","4535"
"10900Q","7606","2","4535"
"10900Q","7607","3","4535"
"10900Q","7608","4","4535"
"10901R","32663","1","4535"
"10901R","7606","2","4535"
"10901R","7607","3","4535"
"10901R","7608","4","4535"
"10902T","28584","1","4535"
"10904X","32678","1","4535"
"10904X","7606","2","4535"
"10905Y","31231","1","4535"
"10905Y","7606","2","4535"
"10906B","32678","1","4535"
"10906B","7608","2","4535"
"10907C","7607","1","4535"
"10908D","28584","1","4535"
"10909E","32663","1","4535"
"10909E","7606","2","4535"
"10909E","7607","3","4535"
"1090J","14417","1","4535"
"10910F","31110","1","4535"
"10910F","7606","2","4535"
"10910F","7607","3","4535"
"10910F","7608","4","4535"
"10911G","18444","1","4535"
"10911G","7606","2","4535"
"10911G","7607","3","4535"
"10912H","23761","1","4535"
"10913J","17936","1","4535"
"10913J","33364","2","4535"
"10913J","25796","3","4535"
"10913J","7608","4","4535"
"10915L","19191","1","4535"
"10915L","28500","2","4535"
"10915L","28482","3","4535"
