li_item_id,percentage_applied,event_type_code,schedule_code
"11621P_7851_391_46688_66638","13.43","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_57133","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_57142","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_57148","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_58524","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_59086","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_59294","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_65899","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_66068","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_66285","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_66289","17.67","SPR_SINGLE_PD","4535"
"11633G_10940_1341_5810_7079","17.67","SPR_SINGLE_PD","4535"
"11752M_8819_1130_15538_15358","35.75","SPR_SINGLE_PD","4535"
"11752M_8819_1130_15538_41113","35.75","SPR_SINGLE_PD","4535"
"11752M_8819_1130_15538_41114","35.75","SPR_SINGLE_PD","4535"
"11752M_8819_1130_15538_48010","35.75","SPR_SINGLE_PD","4535"
"11752M_8819_1130_15538_57654","35.75","SPR_SINGLE_PD","4535"
"11752M_8819_1130_15538_59075","35.75","SPR_SINGLE_PD","4535"
"11753N_9485_1130_15537_15357","35.75","SPR_SINGLE_PD","4535"
"11753N_9485_1130_15537_41109","35.75","SPR_SINGLE_PD","4535"
"11753N_9485_1130_15537_41110","35.75","SPR_SINGLE_PD","4535"
"11753N_9485_1130_15537_48009","35.75","SPR_SINGLE_PD","4535"
"11753N_9485_1130_15537_57653","35.75","SPR_SINGLE_PD","4535"
"11753N_9485_1130_15537_59074","35.75","SPR_SINGLE_PD","4535"
"11756R_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"11756R_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"11756R_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"11756R_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"11757T_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"11757T_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"11758W_8819_1130_15538_15358","35.75","SPR_SINGLE_PD","4535"
"11758W_8819_1130_15538_41113","35.75","SPR_SINGLE_PD","4535"
"11758W_8819_1130_15538_41114","35.75","SPR_SINGLE_PD","4535"
"11758W_8819_1130_15538_48010","35.75","SPR_SINGLE_PD","4535"
"11758W_8819_1130_15538_57654","35.75","SPR_SINGLE_PD","4535"
"11758W_8819_1130_15538_59075","35.75","SPR_SINGLE_PD","4535"
"11762C_9485_1130_15537_15357","35.75","SPR_SINGLE_PD","4535"
"11762C_9485_1130_15537_41109","35.75","SPR_SINGLE_PD","4535"
"11762C_9485_1130_15537_41110","35.75","SPR_SINGLE_PD","4535"
"11762C_9485_1130_15537_48009","35.75","SPR_SINGLE_PD","4535"
"11762C_9485_1130_15537_57653","35.75","SPR_SINGLE_PD","4535"
"11762C_9485_1130_15537_59074","35.75","SPR_SINGLE_PD","4535"
"11763D_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"11763D_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"11763D_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"11763D_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"11764E_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"11764E_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"11764E_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"11764E_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"11765F_8819_1130_15538_15358","35.75","SPR_SINGLE_PD","4535"
"11765F_8819_1130_15538_41113","35.75","SPR_SINGLE_PD","4535"
"11765F_8819_1130_15538_41114","35.75","SPR_SINGLE_PD","4535"
"11765F_8819_1130_15538_48010","35.75","SPR_SINGLE_PD","4535"
"11765F_8819_1130_15538_57654","35.75","SPR_SINGLE_PD","4535"
"11765F_8819_1130_15538_59075","35.75","SPR_SINGLE_PD","4535"
"11769K_9485_1130_15537_15357","35.75","SPR_SINGLE_PD","4535"
"11769K_9485_1130_15537_41109","35.75","SPR_SINGLE_PD","4535"
"11769K_9485_1130_15537_41110","35.75","SPR_SINGLE_PD","4535"
"11769K_9485_1130_15537_48009","35.75","SPR_SINGLE_PD","4535"
"11769K_9485_1130_15537_57653","35.75","SPR_SINGLE_PD","4535"
"11769K_9485_1130_15537_59074","35.75","SPR_SINGLE_PD","4535"
"11770L_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"11770L_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"11771M_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"11771M_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"11771M_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"11771M_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"11772N_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"11772N_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"11772N_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"11772N_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"11775R_9485_1130_15537_15357","35.75","SPR_SINGLE_PD","4535"
"11775R_9485_1130_15537_41109","35.75","SPR_SINGLE_PD","4535"
"11775R_9485_1130_15537_41110","35.75","SPR_SINGLE_PD","4535"
"11775R_9485_1130_15537_48009","35.75","SPR_SINGLE_PD","4535"
"11775R_9485_1130_15537_57653","35.75","SPR_SINGLE_PD","4535"
"11775R_9485_1130_15537_59074","35.75","SPR_SINGLE_PD","4535"
"11776T_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"11776T_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"11777W_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"11777W_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"11778X_8819_1130_15538_15358","35.75","SPR_SINGLE_PD","4535"
"11778X_8819_1130_15538_41113","35.75","SPR_SINGLE_PD","4535"
"11778X_8819_1130_15538_41114","35.75","SPR_SINGLE_PD","4535"
"11778X_8819_1130_15538_48010","35.75","SPR_SINGLE_PD","4535"
"11778X_8819_1130_15538_57654","35.75","SPR_SINGLE_PD","4535"
"11778X_8819_1130_15538_59075","35.75","SPR_SINGLE_PD","4535"
"11779Y_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"11779Y_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"11779Y_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"11779Y_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"11780B_9485_1130_15537_15357","35.75","SPR_SINGLE_PD","4535"
"11780B_9485_1130_15537_41109","35.75","SPR_SINGLE_PD","4535"
"11780B_9485_1130_15537_41110","35.75","SPR_SINGLE_PD","4535"
"11780B_9485_1130_15537_48009","35.75","SPR_SINGLE_PD","4535"
"11780B_9485_1130_15537_57653","35.75","SPR_SINGLE_PD","4535"
"11780B_9485_1130_15537_59074","35.75","SPR_SINGLE_PD","4535"
"11781C_9485_1130_15537_15357","35.75","SPR_SINGLE_PD","4535"
"11781C_9485_1130_15537_41109","35.75","SPR_SINGLE_PD","4535"
"11781C_9485_1130_15537_41110","35.75","SPR_SINGLE_PD","4535"
"11781C_9485_1130_15537_48009","35.75","SPR_SINGLE_PD","4535"
"11781C_9485_1130_15537_57653","35.75","SPR_SINGLE_PD","4535"
"11781C_9485_1130_15537_59074","35.75","SPR_SINGLE_PD","4535"
"11782D_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"11782D_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"11783E_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
